0,1,2,3,4,5,6,7,8,9,10
112.35,37.17,45.98,3.69,50.03,16.44,61.49,29.8,761.6,2.15,774000000.0
111.9,35.15,45.3,3.61,49.34,16.19,60.15,29.37,754.77,2.11,765000000.0
108.37,35.74,45.78,3.66,48.75,16.35,60.06,29.24,758.26,2.02,774000000.0
107.76,30.74,45.52,3.6,48.87,16.25,59.64,28.94,765.25,2.07,774000000.0
107.4,31.03,44.95,3.5,48.57,15.91,59.25,28.53,756.53,2.0,720000000.0
104.26,29.72,44.43,3.54,48.14,15.75,58.8,28.28,740.07,1.99,630000000.0
105.97,29.35,43.74,3.55,48.98,15.96,58.08,28.27,750.42,1.99,702000000.0
105.51,28.91,43.28,3.35,48.58,15.95,57.38,28.74,745.98,1.98,702000000.0
108.85,29.58,43.59,3.47,49.39,16.34,57.71,29.2,760.01,2.12,702000000.0
110.24,29.29,44.68,3.47,49.47,16.2,58.5,30.2,759.94,2.14,720000000.0
110.72,29.34,44.71,3.39,49.7,16.16,58.81,30.52,777.0,2.22,720000000.0
109.28,30.43,44.55,3.38,49.7,16.0,58.56,30.36,776.7,2.22,720000000.0
110.33,30.12,43.68,3.47,49.75,16.0,56.8,30.26,769.63,2.34,711000000.0
109.54,30.69,44.2,3.32,49.24,15.97,56.22,30.34,769.26,2.38,702000000.0
109.34,30.4,44.07,3.18,49.46,16.01,56.82,30.34,771.97,2.33,711000000.0
109.79,29.7,43.8,3.0,49.85,15.96,55.73,30.62,762.85,2.36,720000000.0
108.9,29.89,44.61,2.99,50.64,16.31,56.99,30.9,783.79,2.34,720000000.0
107.92,29.22,44.36,2.99,50.63,16.18,57.91,30.67,777.85,2.27,666000000.0
106.91,29.63,42.74,3.05,49.71,15.89,56.74,29.97,768.2,2.23,675000000.0
110.47,29.89,43.94,2.92,51.28,16.35,58.94,30.77,779.21,2.28,648000000.0
109.77,29.3,43.92,2.87,51.19,16.11,60.52,30.81,772.99,2.36,639000000.0
109.73,29.22,43.48,2.78,51.17,15.79,58.65,30.6,775.14,2.39,585000000.0
107.3,29.0,43.61,2.93,50.42,15.7,57.86,30.65,762.55,2.35,540000000.0
107.81,28.79,44.17,2.91,50.69,15.79,59.53,30.62,760.04,2.45,522000000.0
105.04,28.21,43.94,2.81,49.58,15.36,57.03,30.18,750.42,2.36,459000000.0
104.39,27.91,44.03,2.85,50.57,15.43,57.3,30.35,762.54,2.34,396000000.0
102.54,27.58,45.21,2.97,50.63,16.0,57.9,30.98,760.09,2.36,315000000.0
103.33,27.53,45.25,3.07,51.48,16.3,58.87,31.08,776.59,2.54,351000000.0
101.14,26.47,43.74,2.88,51.08,15.89,57.32,30.74,769.83,2.56,333000000.0
98.4,26.76,45.43,2.85,49.64,15.39,56.92,29.83,756.85,2.45,306000000.0
99.61,26.87,46.76,2.73,50.29,15.58,58.05,30.15,760.8,2.53,306000000.0
99.52,27.19,47.04,2.8,50.76,15.68,58.0,30.58,767.13,2.77,288000000.0
100.8,27.67,46.88,3.06,51.19,15.92,58.35,30.82,768.51,2.83,297000000.0
100.26,27.23,46.91,2.94,51.06,15.86,59.78,30.8,765.84,2.92,333000000.0
